gene,route_class,direction,n,k,point,cp_raw_indep,cp_block_boot,deff,cp_vif,n_clusters,cp_cluster,cp_ceiling,widen_spread
BARD1,synonymous,false_LoF,1347,12.0,0.008908685968819599,0.0143940951439815,0.014847809948032665,1.7958022961276134,0.016910313028929775,754,0.017934622577852877,0.017934622577852877,0.003086812629820213
BRCA1,synonymous,false_LoF,579,11.0,0.018998272884283247,0.03125072236675414,0.02936096718480138,1.0881180999220843,0.03192273225556732,327,0.0358923603145832,0.0358923603145832,0.006531393129781817
PALB2,synonymous,false_LoF,1919,29.0,0.015112037519541427,0.02054829943199922,0.020323084940072955,1.1799407728633318,0.02110270894818008,1059,0.022104356186261498,0.022104356186261498,0.0017812712461885427
RAD51D,synonymous,false_LoF,679,28.0,0.041237113402061855,0.05610286895314192,0.05891016200294551,1.554048490031197,0.06052765992812168,323,0.06569984928000973,0.06569984928000973,0.006789687277064221
VHL,synonymous,false_LoF,387,14.0,0.03617571059431524,0.05597707948090269,0.056847545219638244,1.591297963858597,0.06265867500904285,204,0.05827329376371906,0.05827329376371906,0.005811129789404602
BARD1,nonsense,false_Normal,368,3.0,0.008152173913043478,0.020933980837624697,0.021739130434782608,2.555294983786646,0.03441914662613361,326,0.023611312747602534,0.023611312747602534,0.012680016191351
BRCA1,nonsense,false_Normal,138,0.0,0.0,0.021474277572936608,0.0,1.0,0.021474277572936608,124,0.02386963543559245,0.02386963543559245,0.02386963543559245
PALB2,nonsense,false_Normal,479,5.0,0.010438413361169102,0.02182177058161061,0.022964509394572025,1.9119793639468066,0.02848049291017395,420,0.021660651885055907,0.021660651885055907,0.006819841025118043
RAD51D,nonsense,false_Normal,95,11.0,0.11578947368421053,0.1843747352264428,0.23157894736842105,4.591060985797825,0.2981646865084215,89,0.16982755154743956,0.16982755154743956,0.12833713496098192
VHL,nonsense,false_Normal,60,15.0,0.25,0.35853979440481315,0.4166666666666667,3.7203703703703708,0.48330725373270667,54,0.3950351844155977,0.3950351844155977,0.08827206931710896
