gene,direction,n_P,n_B,oddspath_point,oddspath_lo,tier,abstain,abstain_reason,TPR_point,TPR_lo,FPR_point,FPR_hi,n_cl_num,n_cl_den,TNR_point,TNR_lo,FNR_point,FNR_hi
BARD1,PS3,131,600,595.4198473282443,89.07920870007953,Strong,False,,0.9923664122137404,0.9520947421476375,0.0016666666666666668,0.010688181406653957,114,519,,,,
BARD1,BS3,131,600,129.47166666666666,20.29858668696551,Strong,False,,,,,,519,114,0.9883333333333333,0.9724090292776167,0.007633587786259542,0.04790525785236257
BRCA1,PS3,349,287,69.07736389684814,25.091529884173287,Strong,False,,0.9627507163323782,0.9285221634651326,0.013937282229965157,0.0370054025303099,244,254,,,,
BRCA1,BS3,349,287,111.06387921022068,28.47408726254231,Strong,False,,,,,,254,244,0.9547038327526133,0.9238342612603005,0.008595988538681949,0.03244473660357168
PALB2,PS3,251,644,42.24913678618858,23.88657682981538,Strong,False,,0.9840637450199203,0.9601815302161445,0.023291925465838508,0.040197535923926934,211,564,,,,
PALB2,BS3,251,644,221.37888198757764,32.58906933178029,Strong,False,,,,,,564,211,0.8819875776397516,0.851278598523924,0.00398406374501992,0.026121598928072854
RAD51D,PS3,51,298,58.431372549019606,20.65951965093986,Strong,False,,0.9803921568627451,0.8870622828535999,0.016778523489932886,0.042937217217112064,47,252,,,,
RAD51D,BS3,51,298,inf,12.606189095115411,Moderate,False,,,,,,252,47,0.9798657718120806,0.9515874328930087,0.0,0.07548573369105858
VHL,PS3,139,177,52.63309352517986,16.891684013516592,Moderate,False,,0.8920863309352518,0.8420721806467513,0.01694915254237288,0.04985128658415181,104,137,,,,
VHL,BS3,139,177,18.847457627118644,9.767106324830127,Moderate,False,,,,,,137,104,0.9491525423728814,0.889734309189746,0.050359712230215826,0.09109497527715514
